DFT Energy (eV), CHGNet Energy (eV)
-5.400589512380952,-5.400589512380952
-5.400755639761904,-5.400755639761904
-5.401003427380952,-5.401003427380952
-5.401109812142857,-5.401109812142857
-5.4011928566666665,-5.4011928566666665
-5.401127468333333,-5.401127468333333
-5.4012073,-5.4012073
-5.401224801190476,-5.401224801190476
-5.401241252619048,-5.401241252619048
-5.4012819130952385,-5.4012819130952385
-5.401322198095238,-5.401322198095238
-5.401309399523809,-5.401309399523809
-5.401405769047619,-5.401405769047619
-5.401520781428571,-5.401520781428571
-5.40156051047619,-5.40156051047619
-5.401599060238095,-5.401599060238095
-5.401605939761905,-5.401605939761905
-5.401758772857143,-5.401758772857143
-5.401955213809524,-5.401955213809524
-5.402149155238095,-5.402149155238095
-5.40229531952381,-5.40229531952381
-5.402364528333333,-5.402364528333333
-5.402536994285715,-5.402536994285715
-5.402532291428572,-5.402532291428572
-5.402515911666667,-5.402515911666667
-5.402537817142857,-5.402537817142857
-5.402651121190476,-5.402651121190476
-5.402593937380952,-5.402593937380952
-5.40234882047619,-5.40234882047619
-5.401900852619048,-5.401900852619048
-5.401410642857143,-5.401410642857143
-5.400829932619048,-5.400829932619048
-5.400250388333333,-5.400250388333333
-5.399814524047619,-5.399814524047619
-5.399561172142858,-5.399561172142858
-5.399475598333333,-5.399475598333333
-5.399336324047619,-5.399336324047619
-5.399092562619048,-5.399092562619048
-5.398958982619048,-5.398958982619048
-5.398746654523809,-5.398746654523809
-5.39847976452381,-5.39847976452381
-5.398264573571429,-5.398264573571429
-5.39808288,-5.39808288
-5.397761149047619,-5.397761149047619
-5.397609415714286,-5.397609415714286
-5.397449065,-5.397449065
-5.397186568571429,-5.397186568571429
-5.397015685952381,-5.397015685952381
-5.396699527380953,-5.396699527380953
-5.396444291428572,-5.396444291428572
-5.396247284999999,-5.396247284999999
-5.396069220238095,-5.396069220238095
-5.395847580238096,-5.395847580238096
-5.395695678571428,-5.395695678571428
-5.395457627619048,-5.395457627619048
-5.395284281190476,-5.395284281190476
-5.3951523635714285,-5.3951523635714285
-5.395220788333334,-5.395220788333334
-5.3952602276190476,-5.3952602276190476
-5.395488749761905,-5.395488749761905
-5.395670415714285,-5.395670415714285
-5.395889327142857,-5.395889327142857
-5.396185993571429,-5.396185993571429
-5.396374555,-5.396374555
-5.3966328345238095,-5.3966328345238095
-5.396908514285714,-5.396908514285714
-5.397120530952381,-5.397120530952381
-5.3972898478571425,-5.3972898478571425
-5.397439091666667,-5.397439091666667
-5.397667688095238,-5.397667688095238
-5.3978595204761906,-5.3978595204761906
-5.39810833452381,-5.39810833452381
-5.398445079285715,-5.398445079285715
-5.39877239952381,-5.39877239952381
-5.399071069047619,-5.399071069047619
-5.399363288095238,-5.399363288095238
-5.399529600238095,-5.399529600238095
-5.399780495714286,-5.399780495714286
-5.399983671666667,-5.399983671666667
-5.400273397142858,-5.400273397142858
-5.400697699285714,-5.400697699285714
-5.40102921095238,-5.40102921095238
-5.401253911666667,-5.401253911666667
-5.401504497142857,-5.401504497142857
-5.40156660047619,-5.40156660047619
-5.401555739523809,-5.401555739523809
-5.4015702249999995,-5.4015702249999995
-5.401593010476191,-5.401593010476191
-5.401705618809523,-5.401705618809523
-5.401895829523809,-5.401895829523809
-5.401861419047619,-5.401861419047619
-5.401792071904762,-5.401792071904762
-5.401769719761905,-5.401769719761905
-5.401740208095238,-5.401740208095238
-5.401590163095238,-5.401590163095238
-5.401455332619047,-5.401455332619047
-5.401420544285714,-5.401420544285714
-5.401426045,-5.401426045
-5.4014668623809525,-5.4014668623809525
-5.401584592619048,-5.401584592619048
-5.401586543571429,-5.401586543571429
-5.401479900238095,-5.401479900238095
-5.401327971666667,-5.401327971666667
-5.401092455952381,-5.401092455952381
-5.400852949523809,-5.400852949523809
-5.400853617857143,-5.400853617857143
-5.400887194285714,-5.400887194285714
-5.40096235952381,-5.40096235952381
-5.401030371666667,-5.401030371666667
-5.401056815952381,-5.401056815952381
-5.401062354761905,-5.401062354761905
-5.401087186904762,-5.401087186904762
